confirm_yes,是
txid_chr13_st,苇宫诚
txid_chr14_st,蝶泽麻由
txid_chr15_st,并垣佑太郎
txid_chr16_st,灯野菖蒲
txid_chr17_st,新石英树
txid_chr18_st,山森夏江
txid_chr19_st,弓冈巧己
txid_chr20_st,岩井官吉郎
txid_chr21_st,志岐间修一
txid_chr22_st,根岛史周
txid_chr30_st,向导
txid_doc01_st,游戏的玩法
txid_doc04_st,本所七大不可思议
txid_doc05_st,“置行堀”
txid_doc06_st,“马鹿杂曲”
txid_doc07_st,“送行提灯”
txid_doc08_st,“送行拍子木”
txid_doc09_st,“落叶秃椎”
txid_doc10_st,“津轻太鼓”
txid_doc11_st,“足洗邸”
txid_doc12_st,“片叶芦苇”
txid_doc13_st,“不灭行灯”
txid_doc15_st,重生的秘术
txid_doc17_st,咒影／咒主
txid_doc18_st,诅咒珠
txid_doc19_st,魂渣
txid_doc22_st,禄命簿
txid_doc48_st,禄命簿·阴之书
txid_doc25_st,灵夜祭
txid_doc42_st,阴阳师
txid_doc49_st,西洋黑魔法
txid_doc14_st,本所事变
txid_doc02_st,东京都墨田区
txid_doc20_st,FILE23
txid_doc03_st,本所
txid_doc27_st,隅田川
txid_doc28_st,两国桥
txid_doc29_st,驹形桥
txid_doc30_st,南割下水道
txid_doc31_st,锦丝堀公园
txid_doc32_st,旧安田庭园
txid_doc33_st,绿町公园
txid_doc23_st,剥皮肥皂
txid_doc34_st,驹形高中
txid_doc35_st,志岐间邸
txid_doc36_st,咖啡店黑桔梗
txid_doc37_st,粗点心千野屋
txid_doc41_st,苍鹭侦探堂
txid_doc40_st,心灵对策室
txid_doc16_st,神秘风潮
txid_doc24_st,狐狗狸
txid_doc43_st,少年失足
txid_doc21_st,电话亭
txid_doc38_st,葛饰北斋
txid_doc46_st,根岛事件总结
txid_doc26_st,志岐间绑架事件总结
txid_doc45_st,白石美智代相关的笔记
txid_doc44_st,吉见肇相关的笔记
txid_doc47_st,明白的咒主的笔记
txid_doc39_st,反舌鸟
txid_strych_name_01,兴家彰吾
txid_strych_name_02,志岐间春惠
txid_strych_name_03,津诘彻生
txid_strych_name_04,逆崎约子
txid_strych_name_05,蝶泽麻由
txid_strych_title_a0_010,“锦丝堀公园 Part1”
txid_strych_title_a0_020,“锦丝堀公园 Part2”
txid_strych_title_a0_030,“锦丝堀公园 Part3”
txid_strych_title_a0_040,“七大不可思议巡游 Part1”
txid_strych_title_a0_060,“七大不可思议巡游 Part2”
txid_strych_title_a0_110,“锦丝堀公园 Part3'”
txid_strych_title_a0_120,“锦丝堀公园 Part4”
txid_strych_title_a1_010,“解除”
txid_strych_title_a1_020,“另一个结局”
txid_strych_title_b0_010,“这不是梦”
txid_strych_title_b0_020,“有趣的故事”
txid_strych_title_b0_030,“如果就这样”
txid_strych_title_b1_010,“也有这样的世界”
txid_strych_title_b1_020,“不管捕还是死”
txid_strych_title_b1_030,“那个孩子……不擅长？”
txid_strych_title_b1_040,“最终手段”
txid_strych_title_b1_050,“志岐间春惠的传说”
txid_strych_title_b1_055,“灯野菖蒲的夙愿”
txid_strych_title_c0_010,“现场验证”
txid_strych_title_c0_020,“咒主搜索 Part1”
txid_strych_title_c0_030,“咒主搜索 Part2”
txid_strych_title_c0_040,“预告电话”
txid_strych_title_c1_010,“状况整理”
txid_strych_title_c1_020,“高级寿司”
txid_strych_title_c1_030,“暂时待机”
txid_strych_title_c1_040,“大捕物”
txid_strych_title_c1_045,“根岛史周的追悼”
txid_strych_title_c1_050,“结局”
txid_strych_title_d0_010,“狐狗狸”
txid_strych_title_d0_020,“有两件重要的事”
txid_strych_title_d0_030,“从驹形高中逃脱”
txid_strych_title_d0_035,“逃脱失败”
txid_strych_title_d0_040,“成功逃脱”
txid_strych_title_d1_010,“多亏奥田”
txid_strych_title_d1_020,“塞曼”
txid_strych_title_d1_030,“再见”
txid_strych_title_d1_035,“白石美智代的恩怨”
txid_strych_title_d1_040,“一起来做吧”
txid_strych_title_d1_050,“决战前”
txid_strych_title_e1_010,“幽暗”
txtid_strych_text1_a0_010,★不出现的文本
txtid_strych_text1_a0_020,[c3]～上次的梗概～[c0][r]和福永叶子一起寻找“本所七大不可思议”[r]搜索锦丝堀公园的兴家彰吾[r]完全被她说出的神秘故事[r]所吸引住了。
txtid_strych_text1_a0_030,★不出现的文本
txtid_strych_text1_a0_040,★不出现的文本
txtid_strych_text1_a0_060,★不出现的文本
txtid_strych_text1_a0_110,[c3]～上次的梗概～[c0][r]就这样被打动的冲动[r]拼命呼唤失去自我的福永叶子[r]兴家彰吾无论如何都想唤醒她。[r]那个想法能传达给她吗……！？
txtid_strych_text1_a0_120,[c3]～上次的梗概～[c0][r]担心发生异变的福永叶子的兴家彰吾[r]决定中止今天的七大不可思议搜查。[r]为了说服发牢骚的福永叶子[r]兴家彰吾决定一个人再继续搜索。
txtid_strych_text1_a1_010,土御门晴曼的“灵魂”“肉体”“精神”[r]集齐了就会出现。[r]在此发动解除之术后，无论是秘术还是诅咒[r]一切都被驱除、消失……
txtid_strych_text1_a1_020,★不出现的文本
txtid_strych_text1_b0_010,去年志岐间春惠的儿子被绑架后杀害[r]她委托侦探调查未解决的绑架事件。[r]深夜在家里接受调查报告后[r]“那个”突然来访……
txtid_strych_text1_b0_020,[c3]～上次的梗概～[c0][r]虽然受到了“送行拍子木”的诅咒[r]不使用，通过夺走诅咒珠来重生的秘术[r]志岐间春惠被提议使用[r]把棹利飞太送到了咒主的探索。
txtid_strych_text1_b0_030,[c3]～上次的梗概～[c0][r]春惠收到了怀疑是咒主的多个报告。[r]据说同样瞄准了咒语珠[r]虽然很在意灯野菖蒲的存在[r]继续委托棹利飞太探索咒主。
txtid_strych_text1_b1_010,[c3]～上次的梗概～[c0][r]为了得到积存了魂渣的诅咒珠[r]利飞太彻夜收集情报。[r]春惠对自己孩子复苏的大愿成就的可能性[r]迎来睡不着的早晨。
txtid_strych_text1_b1_020,[c3]～上次的梗概～[c0][r]绑架事件的重要参考人白石美智代的[r]她来到家里，发现事情很复杂[r]春惠和利飞太知道了[r]在那里遇到了两个男性。
txtid_strych_text1_b1_030,[c3]～上次的梗概～[c0][r]冲进刑警和白石家被诅咒致死[r]发现了岩井官吉郎留下的手记[r]绑架案的全貌被曝光啦。[r]但是那样的话春惠就不能满足啦。
txtid_strych_text1_b1_040,[c3]～上次的梗概～[c0][r]与救出的蝶泽麻由一起追问弓冈[r]试着得到了新的诅咒者的情报[r]没有得到特别有益的信息。[r]于是回到志岐间府邸……
txtid_strych_text1_b1_050,★不出现的文本
txtid_strych_text1_b1_055,★不出现的文本
txtid_strych_text1_c0_010,警视厅搜查一课的警部津诘彻生[r]为了调查警察神秘的怪死事件[r]和部下襟尾纯一起在现场[r]访问了旧安田庭园……
txtid_strych_text1_c0_020,[c3]～上次的梗概～[c0][r]在警察吉见肇变死的现场[r]进行状况整理的津诘和襟尾。[r]津诘否定了“重生的秘术”，但在那里[r]出现了“落叶秃椎”的咒影。
txtid_strych_text1_c0_030,[c3]～上次的梗概～[c0][r]为了避免前所未有的惨案[r]津诘和襟尾决定尽快回收。[r]从并垣佑太郎那里得到了“足洗邸”的诅咒珠[r]回收的两人前往下一个地方。
txtid_strych_text1_c0_040,[c3]～上次的梗概～[c0][r]“不灭行灯”的诅咒主新石英树[r]说服后，总共回收了3个咒詛珠。[r]津诘和襟尾应该找到残留的咒主[r]继续搜查街道。
txtid_strych_text1_c1_010,[c3]～上次的梗概～[c0][r]在咒语珠的回收也不顺利的状态下[r]吉见肇的变死事件和根岛的杀人预告等[r]把各种确认交给问题堆积如山的中襟尾[r]是现在稍微休息一下的津诘。
txtid_strych_text1_c1_020,[c3]～上次的梗概～[c0][r]既然天黑之前是时间限制[r]我不能浪费时间。[r]那样的中津诘和襟尾和驹形高中[r]我决定把调查的对象转向白石家。
txtid_strych_text1_c1_030,[c3]～上次的梗概～[c0][r]白石家岩井官吉郎的死一起[r]津诘和襟尾知道了好几个新事实。[r]白石美智代知道根岛史周的藏身之处[r]收到了在的消息，急忙去了高中。
txtid_strych_text1_c1_040,[c3]～上次的梗概～[c0][r]从白石美智代到根岛史周的藏身之处[r]能听到的襟尾和津诘[r]本部也要求增援，为了确保根岛[r]展开了大捕物。
txtid_strych_text1_c1_045,★不出现的文本
txtid_strych_text1_c1_050,[c3]～上次的梗概～[c0][r]和灯野菖蒲见面，全部弄清楚。[r]下定决心的津诘和襟尾继续搜索。[r]本所七大不可思议的诅咒……晴曼和芦乃的因缘[r]到底会迎来怎样的结局呢……
txtid_strych_text1_d0_010,希望能让自杀的朋友复活[r]寻找“重生的秘术”的逆崎约子[r]为了得到那个信息[r]和同班同学黑铃一起在深夜的教室里[r]试着看了“狐狗狸先生”……
txtid_strych_text1_d0_020,[c3]～上次的梗概～[c0][r]根据狐狗狸先生得到的信息[r]朋友白石美智代好像不是自杀。[r]再问“重生的秘术”的地方[r]突然出现了咒影……
txtid_strych_text1_d0_030,[c3]～上回的梗概～[c0][r]受到“傻杂子”诅咒的逆崎约子[r]为了说服他放弃“重生的秘术”。[r]学校已经受到了其他咒影的影响，[r]两人急忙溜出教室。
txtid_strych_text1_d0_035,★不出现的文本
txtid_strych_text1_d0_040,★不出现的文本
txtid_strych_text1_d1_010,[c3]～上回的梗概～[c0][r]要想让好友起死回生，必须付出代价……[r]应该如何面对手中的诅咒？[r]还没整理好就踏上归途的逆崎约子。[r]在担心黑铃的同时，天亮了。
txtid_strych_text1_d1_020,[c3]～上次的梗概～[c0][r]这次事件的起因是“重生的秘术”。[r]对传播这个传闻的当事者新石英树[r]两个人为了听他的话[r]去了一家咖啡店“黑桔梗”。
txtid_strych_text1_d1_030,[c3]～上次的梗概～[c0][r]如果有“禄命簿·阴之书”，就会诅咒秘术[r]也许你知道如何阻止它。[r]得到了有力的线索的约子们[r]为了传达给津诘，我去了驹形高中。
txtid_strych_text1_d1_035,★不出现的文本
txtid_strych_text1_d1_040,[c3]～上次的梗概～[c0][r]重新找回了真正的自己的约子[r]为了和美绪一起停止这次的诅咒[r]进行“禄命簿·阴之书”的探索[r]那个线索太少了……
txtid_strych_text1_d1_050,[c3]～上次的梗概～[c0][r]和吉见的未婚妻蝶泽一起给津诘他们[r]报告到现在为止的信息的约子和美绪。[r]通过总结所有的故事[r]终于看到了最终目的……
txtid_strych_text1_e1_010,？？？
txtid_strych_text2_a0_010,非常普通的公司职员兴家彰吾前几天认识了[r]和福永叶子一起在深夜的锦丝堀公园[r]探索着“本所七大不可思议”。突然倒下[r]失去意识的兴家一个一个地思考着状况[r]一边拿出来一边和福永叶子的神秘故事交往。
txtid_strych_text2_a0_020,福永叶子调查本所七大不可思议的是[r]这是为了寻求“重生的秘术”。[r]从江户传来的七大不可思议和死者复苏[r]关于梦幻秘术的关系[r]突然福永叶子的样子有异变……
txtid_strych_text2_a0_030,毫无预兆就离奇死亡的福永叶子。[r]对异常现象感到困惑的兴家复活了她。[r]发誓要得到重生的秘术。[r]这时一个自称弓冈巧己的男人出现了。[r]想把兴家得到的诅咒给他。
txtid_strych_text2_a0_040,诅咒弓冈巧己得到魂渣的兴家[r]再也不能后退了[r]决心收集剩下的魂渣。[r]巡游本所七大不可思议之地，在各地遭遇[r]经过一番变故，慢慢地积攒魂渣。
txtid_strych_text2_a0_060,兴家彰吾在“两国桥”和“旧安田庭园”中也有[r]遇到了咒主，总算突破了难关[r]积攒了必要的魂渣。[r]但是后来咒语珠发生了变化[r]兴家就这样不回去了……
txtid_strych_text2_a0_110,根据兴家彰吾耐心的呼吁[r]福永叶子安全地回过神来。[r]但是你看到了什么，发生了什么[r]据说完全不记得了。[r]听了这话，兴家决定停止搜索。
txtid_strych_text2_a0_120,为了和福永叶子的约定一个人[r]进行本所七大不可思议的搜索的兴家彰吾。[r]但是第二天早上在公园里发现的东西[r]这是他面目全非的遗体……
txtid_strych_text2_a1_010,土御门晴曼的“灵魂”“肉体”“精神”[r]集齐了就会出现。[r]解除之术，秘术，诅咒，[r]一切都被驱除了。
txtid_strych_text2_a1_020,[c5]【结局＃６】[c0][r]那里是既没有秘术也没有诅咒的平常的世界。[r]与之相关的人们将如何生活下去……[r]看看你拯救的城市，[r]希望你离开。
txtid_strych_text2_b0_010,因为受到了“送行拍子木”的诅咒[r]志岐间春惠得到了使用“重生的秘术”的机会。[r]委托调查绑架事件的侦探棹利飞太[r]为了不使用诅咒而使用秘术，其他咒主的[r]提议夺走诅咒珠。
txtid_strych_text2_b0_020,春惠从利飞太那里得到了寻找咒主的报告。[r]看到对她来说因缘深的隅田川的水流[r]真的这样就好了吗。[r]还有一个叫灯野菖蒲的女人[r]知道是瞄准了，只着急。
txtid_strych_text2_b0_030,魔咒主的搜索就交给利飞太了[r]虽然春惠暂时回家了[r]果然心里还是不平静。
txtid_strych_text2_b1_010,在意肥皂和灯野菖蒲的动向[r]没有关于咒主的有力信息[r]无法掩饰焦躁的春惠。[r]另一方面，作为绑架事件的重要参考人被提出来了[r]对白石美智代进行调查。
txtid_strych_text2_b1_020,绑架事件的犯人岩井官吉郎[r]在自家被白石美智代诅咒致死。[r]和研究西洋黑魔法的岩井[r]根岛史周和白皂的联系[r]尽管如此，春惠还是对重生的秘术感兴趣。
txtid_strych_text2_b1_030,绑架事件调查完毕，致力于重生的秘术[r]利飞太和春惠再次围绕七大不可思议。[r]眺望着沉迷于粗点心的利飞太[r]一边用传真接收神秘的SOS[r]把诅咒珠的目标集中在灯野菖蒲上。
txtid_strych_text2_b1_040,诅咒根岛的话可以使用诅咒珠[r]注意到的灯野菖蒲瞄准了咒主春惠[r]我访问了志岐间的宅邸。春惠也又存下了魂渣[r]为了夺取菖蒲的诅咒珠而投下语言。[r]两人的试探会描绘出怎样的展开呢。
txtid_strych_text2_b1_050,[c5]【结局＃３】[c0][r]一直祈祷儿子苏醒的春惠[r]诅咒并杀死灯野菖蒲，夺走了诅咒珠。[r]虽然不知道实现愿望的春惠是否幸福[r]利飞太想至少能看到传说。
txtid_strych_text2_b1_055,[c5]【结局＃４】[c0][r]用诅咒根岛史周和志岐间春惠而得到的诅咒珠[r]灯野菖蒲完成了自己的夙愿。[r]但是即使遥远的过去的灵魂复活，她[r]连那个肉体都没有复活的方法。
txtid_strych_text2_c0_010,警察吉见肇变死的事件[r]津诘彻生与部下襟尾纯一起进行搜查。[r]在成为现场的旧安田庭园进行状况的整理[r]突然本所七大不可思议的“落叶秃椎”[r]咒影出现在津诘身上。
txtid_strych_text2_c0_020,没想到成为咒主的津诘在襟尾[r]秘密部门“心灵对策室”的存在。[r]两人为了防患于未然[r]开始回收咒语珠，首先在两国桥[r]成功回收了“足洗邸”。
txtid_strych_text2_c0_030,在绿町公园遇到的乡土研究家的[r]新石英树是“不灭行灯”的咒主。[r]有关于“重生的秘术”的知识[r]我还想从新石那里提取信息[r]在这里只剩下回收诅咒珠了。
txtid_strych_text2_c0_040,津诘在锦丝堀公园发现了该男子的遗体。[r]另外还发现了变死体，情况开始好转。[r]从那样的中因缘的对方根岛史周开始[r]津诘收到了联络，自己也是咒主[r]宣布日落时大量杀人。
txtid_strych_text2_c1_010,也有咒语珠的回收没有进展的时候[r]诅咒的受害者出来了。[r]首先和襟尾一起确认状况的津诘。[r]虽然做的事很多，但是能做的事很少[r]总之，我决心稍微往前走一点。
txtid_strych_text2_c1_020,与黑铃美绪接触进行信息交换的津诘[r]校务员苇宫认为根岛的可能性很大。[r]另一方面，从留在现场的遗物中[r]白石美智代真的复活进行复仇[r]也浮现出了有这样的疑问……
txtid_strych_text2_c1_030,白石美智代可能是意外死亡[r]虽然收到了很高的信息[r]与黑铃美宅倒崎约子汇合的津诘和襟尾[r]为了知道根岛史周的藏身之处[r]打算与白石美智代接触。
txtid_strych_text2_c1_040,把苇宫诚和根岛史周逼到绝境的津诘和襟尾。[r]你真的有可以进行大量杀人的诅咒吗[r]一边听当时的情况一边窥视确保的间隙。[r]不久，根据根岛采取的行动[r]这种情况发生了很大的动摇。
txtid_strych_text2_c1_045,[c5]【结局＃２】[c0][r]津诘等人抓住了大捕物的末根岛而错过了[r]终于在没有发现的情况下迎来了预告的时间。[r]在因诅咒而迎来前所未有的大惨案的社会中[r]根岛史周成就了自己的全部目的。
txtid_strych_text2_c1_050,[c5]【结局＃５】[c0][r]由于津诘的牺牲，灯野菖蒲的确保成功了[r]解开“禄命簿·阴之书”的襟尾和美宅。[r]但是在那里出现的最后的咒主福永叶子[r]从两人手中夺走了诅咒珠，惨剧开始了。
txtid_strych_text2_d0_010,怀疑自杀的朋友白石美智代[r]希望复苏的倒崎约子。[r]和同学黑铃美一起去的小栗[r]我问了“重生的秘术”的地方[r]反而受到了“马鹿杂曲”的诅咒。
txtid_strych_text2_d0_020,受到“马鹿杂曲”诅咒的打击[r]失去意识的倒崎约子。[r]美宅在担心那样的她的同时[r]放弃伴随着诅咒的“重生的秘术”[r]促使他逃离学校。
txtid_strych_text2_d0_030,从校舍逃出的途中[r]遇到好几次奇怪的事情。[r]到底是谁在做什么[r]在完全不明白的情况下，逆崎约子[r]慎重地选择行动，总算踏上了归途。
txtid_strych_text2_d0_035,我担心你和苇宫都不出来[r]约子决定回到校舍。[r]但是在那里看到的东西[r]这是朋友残忍的样子……
txtid_strych_text2_d0_040,总算回到家的逆崎约子。[r]我担心留在学校的身体，[r]由于睡意太浓，搜索只能明天进行。[r]我决定马上休息……
txtid_strych_text2_d1_010,发现教师的城内死了[r]昨晚发现校内潜藏着另一个诅咒者。[r]另一方面，根据奥田瞳的信息[r]白石美智代所处的严酷境遇[r]被揭露的约子动摇了。
txtid_strych_text2_d1_020,“本所事变”中有“禄命簿·阴之书”……[r]我们可以从新石头中获得更多的信息[r]一点点看清了事件的全貌。[r]利用这些线索[r]也许能接近解决事态。
txtid_strych_text2_d1_030,白石美智代在约子中。[r]用约子所持的诅咒珠完成了复仇。[r]为了从白石美智代那里得到情报[r]做了狐狗狸先生才知道情况……[r]下次见面之前请不要忘记。
txtid_strych_text2_d1_035,[c5]【结局＃１】[c0][r]为了让白石美智代复活[r]并垣瞄准了“重生的秘术”。[r]但是，即使用武力也要夺取诅咒[r]出现在他面前的是白石本人……？
txtid_strych_text2_d1_040,和逃出监禁的蝶泽麻由汇合[r]美绪和约子追问着希哈克的弓冈。[r]其中吉见肇和白石美智代是花旗曼的后裔[r]如果你把两个护身符收集起来[r]我知道能买到。
txtid_strych_text2_d1_050,江户的术士晴曼和芦乃的因缘在现代卷起了漩涡。[r]所有的目标都集中在灯野菖蒲上。[r]约子和美宅拿到了“禄命簿·阴之书”[r]是否能阻止这个诅咒[r]被津诘等人的行动托付了……
txtid_strych_text2_e1_010,在没有记忆的状态下在陌生的地方醒来[r]虽然是蝶泽麻由，但是在调查周围的时候[r]当我想起这是希哈克弓冈所为的时候[r]根据当时的工夫和什么人的天启[r]逃出被监禁的废工厂。
title_rights_notation,权利标记
story_savedata_update,剧本被更新了，[r]从章节的开头开始。
load_message_autosave,要加载自动保存吗？
android_back_overlay,无法转到其他屏幕
storychart_detail_start,开始
storychart_detail_first,从最初开始
storychart_detail_continue,从中途开始
reset_savedata,因为保存数据损坏了<br>读取失败了。<br>初始化保存数据。
option_warnig_text,※可以在标题画面变更
option_keyconfig_conflict,因为存在按键冲突，所以不能保存。
option_keyconfig_conflict_back,后退
savedata_alldelete_text,我删除了所有的数据。
title_warning_text,＜致未成年人＞<br>请在事先征得监护人同意后，<br>使用这个游戏。  <br><br>游戏使用方法（使用时间等），<br>请和监护人好好商量后决定。

